index,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
195326,16/5/2007,15:26:00,0.634,0.182,236.84,3,0,2,0
195327,16/5/2007,15:27:00,0.64,0.226,236.96,3,0,1,0
195328,16/5/2007,15:28:00,0.698,0.306,237.41,3.4,0,2,0
195329,16/5/2007,15:29:00,0.696,0.3,236.82,3.4,0,2,0
195330,16/5/2007,15:30:00,0.578,0.314,237.19,2.8,0,2,0
195331,16/5/2007,15:31:00,0.508,0.324,237.34,2.4,0,1,0
195332,16/5/2007,15:32:00,0.488,0.322,237.81,2.4,0,2,0
195333,16/5/2007,15:33:00,0.502,0.328,237.79,2.4,0,2,0
195334,16/5/2007,15:34:00,0.482,0.328,238.66,2.4,0,1,0
195335,16/5/2007,15:35:00,0.506,0.33,238.3,2.4,0,2,0
195336,16/5/2007,15:36:00,0.486,0.326,238.2,2.4,0,1,0
195337,16/5/2007,15:37:00,0.5,0.328,238.09,2.4,0,2,0
195338,16/5/2007,15:38:00,0.482,0.326,238.46,2.4,0,1,0
195339,16/5/2007,15:39:00,0.496,0.326,237.78,2.4,0,2,0
195340,16/5/2007,15:40:00,0.474,0.32,237.35,2.4,0,1,0
195341,16/5/2007,15:41:00,0.48,0.304,237.24,2.4,0,2,0
195342,16/5/2007,15:42:00,0.408,0.222,237.64,2,0,1,0
195343,16/5/2007,15:43:00,0.424,0.222,237.36,2,0,2,0
195344,16/5/2007,15:44:00,0.402,0.212,236.05,1.8,0,1,0
195345,16/5/2007,15:45:00,0.38,0.162,237.28,1.8,0,2,0
195346,16/5/2007,15:46:00,0.312,0.092,237.3,1.4,0,1,0
195347,16/5/2007,15:47:00,0.33,0.096,237.42,1.4,0,2,0
195348,16/5/2007,15:48:00,0.31,0.092,237.34,1.4,0,1,0
195349,16/5/2007,15:49:00,0.366,0.084,234.6,1.6,0,2,0
195350,16/5/2007,15:50:00,0.306,0.084,235.14,1.4,0,1,0
195351,16/5/2007,15:51:00,0.314,0.088,235.16,1.4,0,2,0
195352,16/5/2007,15:52:00,0.296,0.084,235.44,1.2,0,1,0
195353,16/5/2007,15:53:00,0.314,0.09,235.41,1.4,0,1,0
195354,16/5/2007,15:54:00,0.226,0,236.07,1,0,0,0
195355,16/5/2007,15:55:00,0.24,0,235.16,1,0,1,0
195356,16/5/2007,15:56:00,0.224,0,236.27,1,0,0,0
195357,16/5/2007,15:57:00,0.282,0,236.84,1.2,0,0,0
195358,16/5/2007,15:58:00,0.328,0,236.49,1.4,0,0,0
195359,16/5/2007,15:59:00,0.326,0,236.11,1.4,0,0,0
195360,16/5/2007,16:00:00,0.326,0,235.52,1.4,0,0,0
195361,16/5/2007,16:01:00,0.326,0,235.48,1.4,0,0,0
195362,16/5/2007,16:02:00,0.326,0,236.03,1.4,0,0,0
195363,16/5/2007,16:03:00,0.324,0,235.28,1.4,0,0,0
195364,16/5/2007,16:04:00,0.356,0,235.62,1.4,0,0,0
195365,16/5/2007,16:05:00,0.428,0,235.36,1.8,0,0,0
195366,16/5/2007,16:06:00,0.426,0,234.75,1.8,0,0,0
195367,16/5/2007,16:07:00,0.428,0,235.79,1.8,0,0,0
195368,16/5/2007,16:08:00,0.466,0,235.54,2,0,0,0
195369,16/5/2007,16:09:00,1.726,0,233.06,8.4,0,19,0
195370,16/5/2007,16:10:00,1.026,0,234.23,6,0,14,0
195371,16/5/2007,16:11:00,0.322,0,235.03,1.4,0,0,0
195372,16/5/2007,16:12:00,0.228,0,235.18,1,0,0,0
195373,16/5/2007,16:13:00,0.22,0,235.19,1,0,0,0
195374,16/5/2007,16:14:00,0.22,0,234.58,1,0,0,0
195375,16/5/2007,16:15:00,0.274,0,235.18,1.4,0,0,0
195376,16/5/2007,16:16:00,0.406,0.18,235.07,2,0,0,0
195377,16/5/2007,16:17:00,0.404,0.188,234.25,1.8,0,0,0
195378,16/5/2007,16:18:00,0.402,0.19,235.06,1.8,0,0,0
195379,16/5/2007,16:19:00,0.4,0.19,235.03,1.8,0,0,0
195380,16/5/2007,16:20:00,0.398,0.192,235.39,1.8,0,0,0
195381,16/5/2007,16:21:00,0.396,0.192,235.39,1.8,0,0,0
195382,16/5/2007,16:22:00,0.392,0.194,235.59,1.8,0,0,0
195383,16/5/2007,16:23:00,0.392,0.196,236.12,1.8,0,0,0
195384,16/5/2007,16:24:00,0.392,0.198,236.53,1.8,0,0,0
195385,16/5/2007,16:25:00,0.39,0.2,236.81,1.8,0,0,0
195386,16/5/2007,16:26:00,0.416,0.196,236.34,1.8,0,0,0
195387,16/5/2007,16:27:00,0.492,0.196,236.46,2.2,0,0,0
195388,16/5/2007,16:28:00,0.488,0.19,235.41,2.2,0,0,0
195389,16/5/2007,16:29:00,0.348,0.11,236.17,1.6,0,0,0
195390,16/5/2007,16:30:00,0.316,0.098,236.32,1.4,0,0,0
195391,16/5/2007,16:31:00,0.318,0.1,237.01,1.4,0,0,0
195392,16/5/2007,16:32:00,0.342,0.1,237.23,1.4,0,0,0
195393,16/5/2007,16:33:00,0.316,0.1,236.82,1.4,0,0,0
195394,16/5/2007,16:34:00,0.316,0.098,236.36,1.4,0,0,0
195395,16/5/2007,16:35:00,0.294,0.07,236.08,1.2,0,0,0
195396,16/5/2007,16:36:00,0.222,0,236.41,1,0,0,0
195397,16/5/2007,16:37:00,0.224,0,237.06,1,0,0,0
195398,16/5/2007,16:38:00,0.222,0,236.56,1,0,0,0
195399,16/5/2007,16:39:00,0.222,0,236.31,1,0,0,0
195400,16/5/2007,16:40:00,0.224,0,236.87,1,0,0,0
195401,16/5/2007,16:41:00,0.224,0,237.03,1,0,0,0
195402,16/5/2007,16:42:00,0.222,0,236.7,1,0,0,0
195403,16/5/2007,16:43:00,0.222,0,236.41,1,0,0,0
195404,16/5/2007,16:44:00,0.222,0,235.98,1,0,0,0
195405,16/5/2007,16:45:00,0.222,0,235.93,1,0,0,0
195406,16/5/2007,16:46:00,0.222,0,235.97,1,0,0,0
195407,16/5/2007,16:47:00,0.222,0,236.04,1,0,0,0
195408,16/5/2007,16:48:00,0.222,0,236.15,1,0,0,0
195409,16/5/2007,16:49:00,0.222,0,236.01,1,0,0,0
195410,16/5/2007,16:50:00,0.316,0,235.19,1.4,0,0,0
195411,16/5/2007,16:51:00,0.324,0,236.04,1.4,0,0,0
195412,16/5/2007,16:52:00,1.07,0,235.77,5,0,0,10
195413,16/5/2007,16:53:00,1.386,0,235.44,5.8,0,0,18
195414,16/5/2007,16:54:00,1.37,0,234.99,5.8,0,0,17
195415,16/5/2007,16:55:00,1.266,0,235.69,5.2,0,0,18
195416,16/5/2007,16:56:00,1.256,0,235.51,5.2,0,0,17
195417,16/5/2007,16:57:00,1.256,0,235.82,5.2,0,0,17
195418,16/5/2007,16:58:00,1.252,0,235.54,5.2,0,0,17
195419,16/5/2007,16:59:00,1.252,0,235.83,5.2,0,0,17
195420,16/5/2007,17:00:00,1.244,0,235.01,5.2,0,0,17
195421,16/5/2007,17:01:00,1.24,0,234.76,5.2,0,0,17
195422,16/5/2007,17:02:00,1.256,0,235.9,5.2,0,0,17
195423,16/5/2007,17:03:00,1.312,0,235.17,5.6,0,0,17
195424,16/5/2007,17:04:00,1.316,0.054,234.95,5.6,0,0,17
195425,16/5/2007,17:05:00,1.314,0.054,234.68,5.6,0,0,17
195426,16/5/2007,17:06:00,1.406,0.144,235.23,6,0,0,17
195427,16/5/2007,17:07:00,1.422,0.178,234.84,6,0,0,17
195428,16/5/2007,17:08:00,1.426,0.182,235.77,6,0,0,17
195429,16/5/2007,17:09:00,1.428,0.184,236.11,6,0,0,17
195430,16/5/2007,17:10:00,1.426,0.186,236.33,6,0,0,17
195431,16/5/2007,17:11:00,1.42,0.184,235.98,6,0,0,17
195432,16/5/2007,17:12:00,1.424,0.186,236.54,6,0,0,17
195433,16/5/2007,17:13:00,1.418,0.184,236,6,0,0,17
195434,16/5/2007,17:14:00,1.42,0.186,235.38,6,0,0,17
195435,16/5/2007,17:15:00,1.494,0.296,234.67,6.4,0,1,17
195436,16/5/2007,17:16:00,1.45,0.232,235.67,6.2,0,1,17
195437,16/5/2007,17:17:00,1.426,0.2,235.51,6,0,1,17
195438,16/5/2007,17:18:00,1.426,0.2,235.48,6,0,2,17
195439,16/5/2007,17:19:00,1.426,0.202,235.63,6,0,1,17
195440,16/5/2007,17:20:00,1.428,0.202,235.91,6,0,2,17
195441,16/5/2007,17:21:00,1.418,0.198,235.04,6,0,1,17
195442,16/5/2007,17:22:00,1.414,0.196,234.67,6,0,2,17
195443,16/5/2007,17:23:00,1.414,0.198,234.85,6,0,1,17
195444,16/5/2007,17:24:00,1.41,0.196,234.69,6,0,1,17
195445,16/5/2007,17:25:00,1.384,0.152,235.39,5.8,0,2,17
195446,16/5/2007,17:26:00,1.328,0.074,235.52,5.6,0,1,17
195447,16/5/2007,17:27:00,1.334,0.076,236.12,5.6,0,2,17
195448,16/5/2007,17:28:00,1.336,0.078,236.63,5.6,0,1,17
195449,16/5/2007,17:29:00,1.334,0.076,236.44,5.6,0,1,17
195450,16/5/2007,17:30:00,1.322,0.074,235.48,5.6,0,2,17
195451,16/5/2007,17:31:00,1.316,0.072,234.96,5.6,0,1,17
195452,16/5/2007,17:32:00,1.318,0.072,235.16,5.6,0,1,17
195453,16/5/2007,17:33:00,1.306,0.07,234.14,5.6,0,1,17
195454,16/5/2007,17:34:00,1.314,0.072,234.87,5.6,0,2,17
195455,16/5/2007,17:35:00,1.322,0.074,235.78,5.6,0,1,17
195456,16/5/2007,17:36:00,1.326,0.076,236.14,5.6,0,1,17
195457,16/5/2007,17:37:00,1.322,0.074,235.83,5.6,0,1,17
195458,16/5/2007,17:38:00,1.324,0.074,236.04,5.6,0,2,17
195459,16/5/2007,17:39:00,1.322,0.074,235.85,5.6,0,1,17
195460,16/5/2007,17:40:00,1.316,0.072,235.45,5.6,0,1,17
195461,16/5/2007,17:41:00,1.296,0,235.41,5.4,0,1,17
195462,16/5/2007,17:42:00,1.236,0,234.6,5.2,0,0,17
195463,16/5/2007,17:43:00,1.242,0,235.16,5.2,0,0,17
195464,16/5/2007,17:44:00,1.236,0,234.53,5.2,0,0,17
195465,16/5/2007,17:45:00,1.24,0,234.96,5.2,0,0,17
195466,16/5/2007,17:46:00,1.248,0,235.87,5.2,0,0,17
195467,16/5/2007,17:47:00,1.254,0,236.34,5.2,0,0,17
195468,16/5/2007,17:48:00,1.24,0,235.07,5.2,0,0,17
195469,16/5/2007,17:49:00,0.836,0,235.82,4,0,0,11
195470,16/5/2007,17:50:00,0.25,0,235.81,1.2,0,0,0
195471,16/5/2007,17:51:00,0.298,0.072,236.6,1.2,0,0,0
195472,16/5/2007,17:52:00,0.298,0.07,236.11,1.2,0,0,0
195473,16/5/2007,17:53:00,0.298,0.068,235.44,1.2,0,0,0
195474,16/5/2007,17:54:00,0.296,0.066,234.92,1.2,0,0,0
195475,16/5/2007,17:55:00,0.352,0.122,235.52,1.6,0,0,0
195476,16/5/2007,17:56:00,0.406,0.202,237.48,1.8,0,0,0
195477,16/5/2007,17:57:00,0.4,0.198,236.52,1.8,0,0,0
195478,16/5/2007,17:58:00,0.398,0.198,236.52,1.8,0,0,0
195479,16/5/2007,17:59:00,0.398,0.204,237.56,1.8,0,0,0
195480,16/5/2007,18:00:00,0.396,0.202,237.41,1.8,0,0,0
195481,16/5/2007,18:01:00,0.392,0.2,237.02,1.8,0,0,0
195482,16/5/2007,18:02:00,0.392,0.2,237.04,1.8,0,0,0
195483,16/5/2007,18:03:00,0.35,0.142,237.52,1.6,0,0,0
195484,16/5/2007,18:04:00,0.324,0.106,238.44,1.4,0,0,0
195485,16/5/2007,18:05:00,0.322,0.106,237.92,1.4,0,0,0
195486,16/5/2007,18:06:00,0.32,0.104,237.58,1.4,0,0,0
195487,16/5/2007,18:07:00,0.32,0.104,237.32,1.4,0,0,0
195488,16/5/2007,18:08:00,0.32,0.106,238.09,1.4,0,0,0
195489,16/5/2007,18:09:00,0.32,0.106,238.2,1.4,0,0,0
195490,16/5/2007,18:10:00,0.318,0.104,237.86,1.4,0,0,0
195491,16/5/2007,18:11:00,0.318,0.104,237.85,1.4,0,0,0
195492,16/5/2007,18:12:00,0.318,0.104,237.79,1.4,0,0,0
195493,16/5/2007,18:13:00,0.314,0.098,236.17,1.4,0,0,0
195494,16/5/2007,18:14:00,0.248,0,236.44,1,0,0,0
195495,16/5/2007,18:15:00,0.22,0,235.36,1,0,0,0
195496,16/5/2007,18:16:00,0.22,0,235.59,1,0,0,0
195497,16/5/2007,18:17:00,0.224,0,234.86,1,0,0,0
195498,16/5/2007,18:18:00,0.228,0,235.01,1,0,0,0
195499,16/5/2007,18:19:00,0.236,0,236.12,1,0,0,0
195500,16/5/2007,18:20:00,0.224,0,236.27,1,0,0,0
195501,16/5/2007,18:21:00,0.226,0,236.83,1,0,0,0
195502,16/5/2007,18:22:00,0.348,0,236.17,1.6,0,0,0
195503,16/5/2007,18:23:00,0.934,0,236.07,5,0,6,0
195504,16/5/2007,18:24:00,2.332,0,234.32,9.8,0,35,0
195505,16/5/2007,18:25:00,1.84,0,235.31,8.6,0,27,0
195506,16/5/2007,18:26:00,2.32,0,234.12,9.8,0,35,0
195507,16/5/2007,18:27:00,1.826,0,234.6,8.6,0,26,0
195508,16/5/2007,18:28:00,2.306,0,233.38,9.8,0,35,0
195509,16/5/2007,18:29:00,2.316,0,233.56,9.8,0,35,0
195510,16/5/2007,18:30:00,2.31,0,233.92,9.8,0,34,0
195511,16/5/2007,18:31:00,2.358,0.052,233.44,10,0,35,0
195512,16/5/2007,18:32:00,2.388,0.094,234.04,10.2,0,35,0
195513,16/5/2007,18:33:00,2.384,0.108,232.96,10.2,0,34,0
195514,16/5/2007,18:34:00,2.002,0.096,233.49,8.8,0,29,0
195515,16/5/2007,18:35:00,1.44,0.116,233.32,6.4,0,18,0
195516,16/5/2007,18:36:00,2.374,0.09,233.15,10.2,0,35,0
195517,16/5/2007,18:37:00,1.638,0.114,233.09,7.4,0,23,0
195518,16/5/2007,18:38:00,1.778,0.092,232.82,8,0,24,0
195519,16/5/2007,18:39:00,2.16,0.098,230.96,9.4,0,32,0
195520,16/5/2007,18:40:00,1.224,0.098,233.08,5.2,0,15,0
195521,16/5/2007,18:41:00,2.352,0.1,231.73,10,0,34,0
195522,16/5/2007,18:42:00,1.39,0.1,234.25,6.2,0,19,0
195523,16/5/2007,18:43:00,2.022,0.106,232.46,9,0,28,0
195524,16/5/2007,18:44:00,1.698,0.094,233.01,7.6,0,24,0
195525,16/5/2007,18:45:00,1.804,0.206,233.72,8,0,23,0
195526,16/5/2007,18:46:00,1.9,0.222,234.12,8.4,0,26,0
195527,16/5/2007,18:47:00,1.754,0.244,234.51,7.8,0,22,0
195528,16/5/2007,18:48:00,1.872,0.126,234.11,8.4,0,26,0
195529,16/5/2007,18:49:00,1.64,0.144,234.09,7.4,0,21,0
195530,16/5/2007,18:50:00,1.806,0.126,234.53,8,0,25,0
195531,16/5/2007,18:51:00,1.728,0.148,235.33,7.6,0,23,0
195532,16/5/2007,18:52:00,1.766,0.136,236.47,7.8,0,25,0
195533,16/5/2007,18:53:00,1.782,0.15,235.91,7.8,0,23,0
195534,16/5/2007,18:54:00,1.57,0.134,236.05,7,0,22,0
195535,16/5/2007,18:55:00,1.95,0.142,234.5,8.6,0,26,0
195536,16/5/2007,18:56:00,1.396,0.184,235.48,6,0,19,0
195537,16/5/2007,18:57:00,2.08,0.258,235.14,9.2,0,29,0
195538,16/5/2007,18:58:00,1.362,0.25,235.36,5.8,0,17,0
195539,16/5/2007,18:59:00,1.988,0.256,234.76,8.8,0,28,0
195540,16/5/2007,19:00:00,1.686,0.236,233.47,7.6,0,22,0
195541,16/5/2007,19:01:00,1.692,0.254,233.91,7.6,0,24,0
195542,16/5/2007,19:02:00,1.968,0.238,234.24,8.8,0,26,0
195543,16/5/2007,19:03:00,1.404,0.258,234.29,6,0,19,0
195544,16/5/2007,19:04:00,1.926,0.122,233.2,8.6,0,28,0
195545,16/5/2007,19:05:00,1.334,0.132,234.19,5.8,0,18,0
195546,16/5/2007,19:06:00,1.802,0.112,233.53,8,0,27,0
195547,16/5/2007,19:07:00,1.7,0.126,233.78,7.6,0,23,0
195548,16/5/2007,19:08:00,1.492,0.114,233.63,6.6,0,21,0
195549,16/5/2007,19:09:00,1.882,0.122,233.57,8.4,0,26,0
195550,16/5/2007,19:10:00,1.292,0.118,233.49,5.6,0,17,0
195551,16/5/2007,19:11:00,1.634,0.114,232.76,7.6,0,25,0
195552,16/5/2007,19:12:00,1.702,0.112,233.71,7.6,0,24,0
195553,16/5/2007,19:13:00,0.694,0.128,234.41,3.4,0,9,0
195554,16/5/2007,19:14:00,0.91,0.12,233.74,4.2,0,11,0
195555,16/5/2007,19:15:00,1.202,0.122,234.42,5.8,0,15,0
195556,16/5/2007,19:16:00,2.018,0.11,233.83,8.8,0,31,0
195557,16/5/2007,19:17:00,1.094,0.128,235.63,5,0,14,0
195558,16/5/2007,19:18:00,1.916,0.124,236.05,8.4,0,28,0
195559,16/5/2007,19:19:00,1.192,0.16,236.27,5.6,0,16,0
195560,16/5/2007,19:20:00,1.634,0.228,236.12,7.8,0,22,0
195561,16/5/2007,19:21:00,0.572,0.25,237.64,2.6,0,5,0
195562,16/5/2007,19:22:00,1.246,0.226,236.08,5.4,0,15,0
195563,16/5/2007,19:23:00,2.116,0.212,234.37,9.4,0,31,0
195564,16/5/2007,19:24:00,1.196,0.226,235.86,5.2,0,14,0
195565,16/5/2007,19:25:00,1.698,0.226,235.5,8,0,24,0
195566,16/5/2007,19:26:00,0.59,0.232,236.21,2.8,0,4,0
195567,16/5/2007,19:27:00,1.318,0.226,235.02,5.6,0,17,0
195568,16/5/2007,19:28:00,1.856,0.138,234.59,8.6,0,25,0
195569,16/5/2007,19:29:00,1.29,0.118,235.99,5.4,0,18,0
195570,16/5/2007,19:30:00,1.618,0.104,235.57,7.8,0,22,0
195571,16/5/2007,19:31:00,0.654,0.13,237.39,3,0,7,0
195572,16/5/2007,19:32:00,0.484,0.13,238.28,2,0,3,0
195573,16/5/2007,19:33:00,0.51,0.13,237.03,2.2,0,4,0
195574,16/5/2007,19:34:00,0.476,0.124,237.29,2,0,3,0
195575,16/5/2007,19:35:00,0.542,0.15,236.34,2.4,0,3,0
195576,16/5/2007,19:36:00,0.516,0.15,236.77,2.2,0,3,0
195577,16/5/2007,19:37:00,0.536,0.154,236.32,2.2,0,4,0
195578,16/5/2007,19:38:00,0.502,0.138,234.28,2.2,0,3,0
195579,16/5/2007,19:39:00,0.452,0.128,235.02,2,0,2,0
195580,16/5/2007,19:40:00,0.322,0.098,235.66,1.4,0,0,0
195581,16/5/2007,19:41:00,0.34,0.1,235.44,1.4,0,0,0
195582,16/5/2007,19:42:00,0.32,0.096,235.41,1.4,0,0,0
195583,16/5/2007,19:43:00,0.338,0.102,235.96,1.4,0,1,0
195584,16/5/2007,19:44:00,0.316,0.092,234.38,1.4,0,0,0
195585,16/5/2007,19:45:00,0.336,0.102,236.19,1.4,0,0,0
195586,16/5/2007,19:46:00,0.318,0.1,236.68,1.4,0,0,0
195587,16/5/2007,19:47:00,0.338,0.11,238.16,1.4,0,0,0
195588,16/5/2007,19:48:00,0.318,0.104,237.39,1.4,0,0,0
195589,16/5/2007,19:49:00,0.338,0.11,238.1,1.4,0,1,0
195590,16/5/2007,19:50:00,0.564,0.212,237.93,2.6,0,0,0
195591,16/5/2007,19:51:00,0.75,0.274,237.56,3.4,0,0,0
195592,16/5/2007,19:52:00,0.61,0.098,237.75,2.6,0,0,0
195593,16/5/2007,19:53:00,0.654,0.1,236.95,2.8,0,0,0
195594,16/5/2007,19:54:00,0.636,0.098,237.62,2.6,0,0,0
195595,16/5/2007,19:55:00,0.65,0.096,236.3,2.8,0,1,0
195596,16/5/2007,19:56:00,0.644,0.098,237.57,2.6,0,0,0
195597,16/5/2007,19:57:00,0.65,0.102,238.22,2.8,0,0,0
195598,16/5/2007,19:58:00,0.656,0.102,237.68,2.8,0,0,0
195599,16/5/2007,19:59:00,0.64,0,238.01,2.6,0,0,0
195600,16/5/2007,20:00:00,0.634,0,238.36,2.6,0,0,0
195601,16/5/2007,20:01:00,0.748,0,238.86,3.4,0,0,0
195602,16/5/2007,20:02:00,1.302,0,238.33,5.4,0,1,0
195603,16/5/2007,20:03:00,1.28,0,238.55,5.4,0,0,0
195604,16/5/2007,20:04:00,1.286,0,236.83,5.4,0,0,0
195605,16/5/2007,20:05:00,1.264,0,236.46,5.4,0,0,0
195606,16/5/2007,20:06:00,1.278,0,236.29,5.4,0,0,0
195607,16/5/2007,20:07:00,1.266,0,236.85,5.2,0,0,0
195608,16/5/2007,20:08:00,1.322,0,236.84,5.6,0,1,0
195609,16/5/2007,20:09:00,1.344,0.066,237.27,5.6,0,0,0
195610,16/5/2007,20:10:00,1.39,0.066,236.79,5.8,0,0,0
195611,16/5/2007,20:11:00,1.374,0.062,236.74,5.8,0,0,0
195612,16/5/2007,20:12:00,1.39,0.068,236.9,5.8,0,0,0
195613,16/5/2007,20:13:00,1.376,0.066,237.33,5.8,0,0,0
195614,16/5/2007,20:14:00,1.366,0.07,237.22,5.8,0,1,0
195615,16/5/2007,20:15:00,1.352,0.07,238.21,5.6,0,0,0
195616,16/5/2007,20:16:00,1.358,0.07,236.85,5.6,0,0,0
195617,16/5/2007,20:17:00,1.338,0.068,237.19,5.6,0,0,0
195618,16/5/2007,20:18:00,1.368,0.076,238.59,5.6,0,0,0
195619,16/5/2007,20:19:00,1.364,0.068,238.33,5.6,0,0,0
195620,16/5/2007,20:20:00,1.37,0.068,236.94,5.8,0,1,0
195621,16/5/2007,20:21:00,1.34,0.066,237.46,5.6,0,0,0
195622,16/5/2007,20:22:00,1.352,0.068,237.1,5.6,0,0,0
195623,16/5/2007,20:23:00,1.334,0.062,236.7,5.6,0,0,0
195624,16/5/2007,20:24:00,1.346,0.066,236.49,5.6,0,0,0
195625,16/5/2007,20:25:00,1.326,0.062,236.43,5.6,0,0,0
195626,16/5/2007,20:26:00,1.366,0.076,236.23,5.8,0,0,0
195627,16/5/2007,20:27:00,1.442,0.184,235.04,6.2,0,0,0
195628,16/5/2007,20:28:00,1.464,0.184,233.9,6.2,0,1,0
195629,16/5/2007,20:29:00,1.472,0.192,235.11,6.2,0,0,0
195630,16/5/2007,20:30:00,1.434,0.186,236.08,6,0,0,0
195631,16/5/2007,20:31:00,1.48,0.196,235.67,6.2,0,0,0
195632,16/5/2007,20:32:00,1.428,0.186,236.1,6,0,0,0
195633,16/5/2007,20:33:00,1.446,0.188,235.65,6.2,0,1,0
195634,16/5/2007,20:34:00,1.448,0.186,235.59,6.2,0,0,0
195635,16/5/2007,20:35:00,1.706,0.18,235.09,7.2,0,0,0
195636,16/5/2007,20:36:00,1.466,0.188,235.14,6.2,0,0,0
195637,16/5/2007,20:37:00,1.454,0.198,235.39,6.2,0,0,0
195638,16/5/2007,20:38:00,1.38,0.196,235.14,6,0,0,0
195639,16/5/2007,20:39:00,1.128,0.202,235.31,4.8,0,0,0
195640,16/5/2007,20:40:00,1.132,0.202,235.77,4.8,0,0,0
195641,16/5/2007,20:41:00,1.422,0.202,236.05,6.4,0,0,3
195642,16/5/2007,20:42:00,2.212,0.196,235.83,9.4,0,0,17
195643,16/5/2007,20:43:00,2.2,0.21,234.98,9.4,0,0,18
195644,16/5/2007,20:44:00,2.184,0.21,234.99,9.2,0,2,17
195645,16/5/2007,20:45:00,2.176,0.208,234.9,9.2,0,1,17
195646,16/5/2007,20:46:00,2.176,0.21,235.22,9.2,0,2,17
